seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
173386297,10,6,[13  9 13 14 20 14 12 12 12 15 12 19  8 13 15 14],501.51,"[[13  8 15 14 18 14 13 14  8 13 12 22  8 13 15 15]
 [13  9 13 14 20 14 12 12 12 15 12 19  8 13 15 14]
 [16  9 15 14 15 14 12 13  8 14 12 19 11 13 15 15]
 [10  9 17 14 20 14 14 10 12 12 14 19  8 13 15 14]
 [14  9 16 14 19 14 14 10  8 17 12 18  8 13 15 14]]",[508.761 501.51  515.441 505.299 510.387]
78746995,10,6,[12  9 20 15 20 15 12 12  8 12 12 18  8 13 15 14],503.325,"[[11  9 14 14 16 14 14  9  8 15 16 19 10 13 15 18]
 [11  8 16 14 17 14 12 11 12 14 13 23  8 13 15 14]
 [12  9 20 15 20 15 12 12  8 12 12 18  8 13 15 14]
 [13  9 15 14 13 14 14 10  8 14 14 22  8 13 15 19]
 [12  9 18 14 16 14 13  9 12 12 15 19 10 13 15 14]]",[516.794 506.022 503.325 520.614 506.702]
95206404,10,6,[14  8 13 14 20 14 12 12 12 12 11 23  8 13 15 14],500.314,"[[11 10 16 14 20 14 13 12 12 12 13 18  8 13 15 14]
 [13  7 14 14 20 13 12 12 12 17 10 20  8 13 15 14]
 [14  8 13 14 20 14 12 12 12 12 11 23  8 13 15 14]
 [14  8 13 14 20 14 12 12 12 14 10 22  8 13 15 14]
 [12  9 19 16 16 14 13 10 12 11 14 19  8 13 15 14]]",[503.252 503.519 500.314 500.471 506.301]
56428042,10,8,[10  8 15 14 17 14 12 10 12 14 14 25  8 13 15 14],505.172,"[[15 10 18 13 16 14 12 13  8 15 12 19  8 13 15 14]
 [10  8 15 14 17 14 12 10 12 14 14 25  8 13 15 14]
 [11  9 16 14 17 14 13  9 12 16 15 19  8 13 15 14]
 [13  9 14 18 20 14 14 12  8 11 12 19  8 13 15 15]
 [11 10 20 14 17 14 12 13  8 12 13 18 10 13 15 15]]",[511.699 505.172 505.617 506.683 514.404]
27886648,10,8,[11  8 19 14 20 13 12  9 12 12 14 21  8 13 15 14],503.036,"[[12  8 18 15 18 14 12  9 12 11 14 22  8 13 15 14]
 [11  8 19 14 20 13 12  9 12 12 14 21  8 13 15 14]
 [11 10 15 14 13 15 15 12  8 13 16 18  8 13 15 19]
 [13  9 14 14 20 14 13 12  8 17 12 19  8 13 15 14]
 [15  8 15 16 19 14 12 12 12 10 12 20  8 13 15 14]]",[503.56  503.036 524.702 503.539 504.001]
173386297,10,8,[12  8 16 14 20 14 12 12 12 13 12 20  8 13 15 14],500.485,"[[ 8  9 21 14 16 14 13 13  8 12 16 19  9 13 15 15]
 [12  8 16 14 20 14 12 12 12 13 12 20  8 13 15 14]
 [11  8 17 15 14 14 13 11  8 11 13 22 13 13 15 17]
 [11 10 17 14 17 14 14  9 12 13 15 18  8 13 15 15]
 [11  8 14 14 18 15 13 10 12 14 14 22  8 13 15 14]]",[519.133 500.485 525.031 504.973 507.527]
78746995,10,8,[16  9 16 16 20 14 12 12  8 11 12 19  8 13 15 14],502.036,"[[13 10 15 15 20 14 12 14  8 12 12 18  8 13 15 16]
 [11  9 14 15 17 14 13  9 16 12 15 19  8 13 15 15]
 [13  8 16 14 16 14 12  9 12 14 14 22  8 13 15 14]
 [12  8 21 13 17 14 12 11  8 14 13 19  8 13 15 17]
 [16  9 16 16 20 14 12 12  8 11 12 19  8 13 15 14]]",[506.348 512.768 509.24  512.359 502.036]
95206404,10,8,[14  8 15 15 20 14 13 12 12 11 10 21  8 13 15 14],500.922,"[[14  8 15 15 20 14 13 12 12 11 10 21  8 13 15 14]
 [12  8 15 14 16 14 12  9 12 15 14 20  8 13 15 18]
 [12  9 17 14 20 14 13  9  8 15 14 19  9 13 15 14]
 [11  8 15 14 17 14 12 10 12 13 14 25  8 13 15 14]
 [10  8 18 14 16 14 14 11 12 14 13 21  8 13 15 14]]",[500.922 509.478 506.974 504.88  507.224]
56428042,10,10,[12 10 16 14 18 14 12  9 12 16 14 18  8 13 15 14],505.248,"[[13  8 15 14 20 14 12  9  8 13 14 22 11 13 15 14]
 [ 9  8 16 14 12 14 15  9 12 16 18 22  8 13 15 14]
 [12 10 16 14 18 14 12  9 12 16 14 18  8 13 15 14]
 [12 10 17 16 17 14 12  9 12 13 14 18  8 13 15 15]
 [10 10 15 14 17 15 14 12 12 15 13 18  8 13 15 14]]",[509.673 518.693 505.248 506.943 509.545]
27886648,10,10,[13  9 13 14 20 14 12 12 12 14 13 19  8 13 15 14],503.711,"[[12  8 21 14 16 14 12  9 12 13 14 20  8 13 15 14]
 [17  9 15 14 19 13 12 11 12 12 12 19  8 13 15 14]
 [13 10 13 16 13 14 15 10 12 11 15 18  9 13 15 18]
 [12  8 13 14 20 14 12 10  8 14 14 19 13 13 15 16]
 [13  9 13 14 20 14 12 12 12 14 13 19  8 13 15 14]]",[504.45  503.852 519.231 516.684 503.711]
